NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
3D Systems,DDD,14.14,14.81,13.6,14.76,0.32,2.22,3240444,32.88,6,69.85
3M,MMM,163.68,164.54,163.05,164.46,0.19,0.12,1730167,167.7,134,9.17
58.com ADR,WUBA,56.25,56.76,55.28,56.48,-0.04,-0.07,518280,83.71,37.72,-14.37
500.com ADR,WBAI,16.46,17.18,16.04,16.88,0.26,1.56,378620,30.67,9.89,-16.02
A10 Networks,ATEN,5.85,5.91,5.77,5.87,-0.03,-0.51,126272,8.3,4.12,-10.52
AAC Holdings,AAC,18.18,18.48,17.99,18.38,0.17,0.93,123794,46.6,14.36,-3.57
AAR Corp.,AIR,22.82,22.83,21.45,22.8,-0.23,-1,463662,34.24,18.36,-13.28
Aaron's Inc.,AAN,23.76,23.88,23.37,23.87,-0.14,-0.58,240738,40.8,20.24,6.61
ABB ADR,ABB,18.8,18.94,18.78,18.93,-0.16,-0.84,1308716,23.66,15.74,6.77
Abbott Laboratories,ABT,40.64,40.9,40.36,40.75,-0.03,-0.07,4038030,51.74,36,-9.26
AbbVie,ABBV,56.14,56.25,55.67,56.12,-0.24,-0.43,4708673,71.6,45.45,-5.27
Abercrombie&Fitch,ANF,30.74,31.54,30.58,31.41,0.58,1.88,1496086,32.83,15.42,16.33
ABM Industries,ABM,31.42,31.61,31.2,31.48,-0.04,-0.13,148112,34,26.5,10.57
Acadia Realty Trust,AKR,33.58,33.8,33.5,33.7,,,219740,35.36,28.34,1.66
Accenture Cl A,ACN,108.79,114.44,108.68,114.3,6.64,6.17,6279911,114.44,88.43,9.38
ACCO Brands,ACCO,8.47,8.63,8.42,8.56,0.06,0.71,326854,8.9,5.47,20.06
Accuride,ACW,1.61,1.67,1.53,1.64,0.03,1.86,422355,5,0.74,-1.2
Acorn International ADR,ATV,4.68,4.68,4.47,4.56,-0.1,-2.15,20026,20.85,1.77,-16.18
Actuant Cl A,ATU,23.92,24.34,23.67,24.34,0.26,1.08,325150,25.5,17.02,1.59
Acuity Brands,AYI,217.43,220.4,212.93,214.91,-2.89,-1.33,448249,241.9,160.02,-8.08
Adecoagro,AGRO,11.55,11.7,11.53,11.61,0.01,0.09,945336,13.41,6.71,-5.53
Adeptus Health,ADPT,54.63,56.24,53,54.61,-0.3,-0.55,232924,123.97,37.13,0.17
ADT Corp.,ADT,40.97,41.15,40.95,41.1,0.15,0.37,1249587,42.88,24.22,24.62
Advance Auto Parts,AAP,160.99,162.04,159.95,161.82,0.73,0.45,823452,201.24,131.59,7.51
Advanced Drainage Systems,WMS,20.5,20.94,20.45,20.93,0.31,1.5,107246,33.28,17.72,-12.9
Advanced Semiconductor Engineering ADR,ASX,5.66,5.77,5.66,5.76,0.03,0.52,1329756,7.65,4.54,1.59
Advantage Oil&Gas,AAV,5.05,5.19,5.05,5.13,-0.02,-0.39,47516,6.59,4.17,0.98
Advantest ADR,ATE,9.55,9.55,9.52,9.52,-0.33,-3.35,3743,13.31,7.01,14.7
AECOM,ACM,30.31,30.65,30.2,30.59,0.03,0.1,412599,35.4,22.8,1.86
Aegean Marine Petroleum Network,ANW,7.1,7.64,7.1,7.5,0.27,3.73,161016,15.71,5.52,-10.29
Aegon ADR,AEG,5.5,5.54,5.48,5.53,-0.11,-1.95,923987,8.22,4.58,-2.47
AerCap Holdings,AER,37.63,37.85,36.67,37.51,-0.56,-1.47,3029265,51.5,24.61,-13.09
Aerohive Networks,HIVE,5.12,5.18,5.02,5.08,-0.05,-0.97,70759,8.35,4.08,-0.59
Aerojet Rocketdyne Holdings,AJRD,15.8,15.94,15.56,15.87,-0.03,-0.19,128557,24.99,13.98,1.34
Aeropostale,ARO,0.21,0.22,0.2,0.21,0.01,4.17,2237011,3.64,0.16,-25
AES,AES,11.24,11.58,11.16,11.57,0.27,2.39,6516808,14.02,8.22,20.9
Aetna,AET,111.37,112.96,111.24,112.41,0.66,0.59,2008066,134.4,92.42,3.97
Affiliated Managers Group,AMG,156.66,157.55,154.6,157.43,-1.55,-0.97,393728,230.63,115.97,-1.46
AFLAC,AFL,62.91,62.94,62.34,62.7,-0.7,-1.1,1712340,66.53,51.41,4.67
AGCO,AGCO,50.66,51.19,50.03,51.01,0.02,0.04,571195,57.9,41.91,12.38
Agilent Technologies,A,39.16,39.45,38.89,39.43,-0.04,-0.1,936933,43.59,33.12,-5.69
AGL Resources,GAS,64.52,64.87,64.52,64.8,0.27,0.42,322312,65.16,46.36,1.55
AG Mortgage Investment Trust,MITT,12.65,12.81,12.42,12.77,0.06,0.47,181051,19.61,10.33,-0.55
Agnico-Eagle Mines,AEM,35.58,36.25,35.29,36.12,0.67,1.89,1682904,39.48,21,37.44
Agree Realty,ADC,37.97,38.89,37.88,38.7,0.75,1.98,204483,39,27.74,13.86
AGRIA ADR,GRO,1.01,1.05,1.01,1.01,-0.03,-2.88,13951,1.89,0.88,-26.81
Agrium,AGU,90.1,90.1,88.91,89.55,-1.31,-1.44,830622,110.89,79.94,0.24
A. H. Belo Series A,AHC,5.02,5.02,4.96,5.01,-0.05,-0.99,24875,8.42,4.21,0.2
Aircastle,AYR,21.38,21.45,21.07,21.42,-0.17,-0.79,214015,25.52,15.05,2.54
Airgas,ARG,141.68,141.86,141.51,141.86,0.17,0.12,321969,141.92,86.09,2.56
Air Lease,AL,30.99,31.46,30.44,31.31,,,883324,40.49,22.47,-6.48
Air Products&Chemicals,APD,144.04,144.36,141.32,141.76,-2.17,-1.51,1156450,154.55,114.64,8.95
AK Steel Holding,AKS,3.98,4.17,3.76,4.15,0.07,1.72,9714802,5.93,1.64,85.27
Alamo Group,ALG,54.63,56.15,54.54,55.67,0.31,0.56,31787,64.45,43.98,6.85
Alamos Gold,AGI,4.97,5.12,4.92,5.08,0.14,2.83,1067739,7.54,2.27,54.41
Alaska Air Group,ALK,80.47,80.59,79.42,80.59,-0.53,-0.65,1128448,87.17,58.15,0.1
Albany International Cl A,AIN,36.65,37.46,36.3,37.45,0.67,1.82,109826,41.58,27.64,2.46
Albemarle,ALB,60.67,62.09,60.34,61.92,0.53,0.86,700328,64.99,41.37,10.55
Alcoa,AA,9.18,9.61,9.04,9.57,0.25,2.68,20588307,14.29,6.14,-3.04
Alere,ALR,50.19,50.95,50.08,50.69,0.32,0.64,932700,55.99,31.96,29.68
Alexander&Baldwin,ALEX,34.61,34.86,34.17,34.81,0.09,0.26,231648,43.68,28.82,-1.42
Alexander's Inc.,ALX,383.4,383.48,380.42,380.42,-0.48,-0.13,1408,468.25,350.03,-0.96
Alexandria Real Estate Equities,ARE,88.11,88.52,87.45,88.52,0.02,0.02,451957,99.52,70.69,-2.04
Alibaba Group Holding ADR,BABA,75.15,76.15,73.53,75.86,-0.7,-0.91,8800451,95.06,57.2,-6.66
Alleghany,Y,488.51,489.98,482.58,489.15,-1.01,-0.21,50547,518.48,440.24,2.35
Allegheny Technologies,ATI,15.56,16.2,15.36,16.2,0.36,2.27,1461307,37.76,7.08,44
Allegion,ALLE,63.23,63.38,62.69,63.14,-0.22,-0.35,434637,68.08,52.95,-4.22
Allergan,AGN,278.13,281.28,278.05,279.32,-1.99,-0.71,2161456,340.34,237.5,-10.62
Allete,ALE,57.15,57.71,57.04,57.52,0.31,0.54,118537,58.34,45.29,13.16
AllianceBernstein Holding,AB,22.09,22.28,21.97,22.27,0.02,0.09,212130,32.74,16.11,-6.62
Alliance Data Systems,ADS,209.42,212.35,207.11,211.77,1.97,0.94,547334,312,176.63,-23.43
Alliance One International,AOI,15.5,16.15,15.22,15.94,0.27,1.72,20077,26.47,8.33,38.97
Alliant Energy,LNT,72.38,73.08,72.2,72.99,0.39,0.54,433454,73.08,54.27,16.88
Allied World Assurance Holdings,AWH,35.62,35.62,35.05,35.4,-0.43,-1.2,1081455,45.05,30.29,-4.81
Allison Transmission Holdings,ALSN,26.55,26.57,26.26,26.56,-0.14,-0.52,744619,32.54,20.56,2.59
Allstate,ALL,66.47,66.48,65.94,66.19,-0.47,-0.71,1369632,72.51,54.12,6.6
Ally Financial,ALLY,17.99,18.37,17.99,18.34,0.18,0.99,1405633,23.83,14.55,-1.61
Alon Blue Square Israel ADR,BSI,3.11,3.12,3.03,3.11,0.04,1.3,14396,32.5,2,-27.51
Alon USA Energy,ALJ,10.25,10.61,10.15,10.6,0.2,1.92,839327,23.29,9.2,-28.57
Alon USA Partners,ALDW,13.09,13.61,12.81,13.24,-0.06,-0.45,116538,26.67,9.71,-43.05
Altisource Residential,RESI,11.21,11.42,10.76,11.38,-0.02,-0.18,607971,22.59,8.59,-8.3
Altria Group,MO,60.81,61.29,60.51,60.88,-0.53,-0.86,5572770,63.15,47.31,4.59
Aluminum Corp. of China ADR,ACH,8.08,8.13,8.01,8.09,-0.11,-1.34,17228,17.44,6.87,-1.82
Amber Road,AMBR,5.31,5.53,5.14,5.4,0.12,2.27,87585,9.69,3.42,6.09
Ambev ADR,ABEV,5.08,5.16,5.07,5.12,0.01,0.2,29359261,6.68,3.86,14.8
A.M. Castle,CAS,2.33,2.33,2.22,2.29,0.01,0.44,29686,7.01,1.28,44.03
AMC Entertainment Holding,AMC,27.87,28.1,27.28,28.06,0.09,0.32,199168,35.91,19.28,16.92
AMEC Foster Wheeler ADR,AMFW,6.26,6.4,6.25,6.34,-0.1,-1.55,203243,14.75,4.57,-1.55
Ameren,AEE,48.82,49.27,48.72,49.25,0.26,0.53,1110947,49.42,37.26,13.93
Ameresco,AMRC,4.82,4.84,4.68,4.69,-0.13,-2.7,65040,7.98,4.13,-24.96
America Movil ADR,AMX,15.07,15.32,15.05,15.3,0.07,0.46,2364459,22.38,11.87,8.82
American Assets Trust,AAT,37.65,38.33,37.54,38.26,0.49,1.3,120936,43.9,34.07,-0.23
American Axle&Manufacturing Holdings,AXL,14.67,14.7,14.32,14.65,-0.13,-0.88,816705,26.21,11.44,-22.65
American Campus Communities,ACC,45.35,45.35,44.93,45.14,-0.23,-0.51,481449,47.18,32.12,9.19
American Eagle Outfitters,AEO,16.33,16.59,16.13,16.32,-0.04,-0.24,2392634,18.49,12.78,5.29
American Electric Power,AEP,65.02,65.4,64.72,65.06,-0.02,-0.03,3868548,65.68,52.29,11.65
American Equity Investment Life Holding,AEL,15.88,15.94,15.26,15.77,-0.29,-1.81,937610,30.02,12.65,-34.37
American Express,AXP,60.22,60.52,59.59,60.47,-0.16,-0.26,3496247,81.92,50.27,-13.06
American Financial Group,AFG,70.4,70.52,69.88,70.21,-0.77,-1.08,163464,75.68,62.98,-2.59
American Homes 4 Rent Cl A,AMH,15.26,15.51,15.07,15.38,0.12,0.79,2237049,17.39,13.16,-7.68
American International Group,AIG,52.97,53.06,52.54,52.98,-0.46,-0.86,5576182,64.93,50.2,-14.51
American International Group WT,AIG%,16.77,16.96,16.61,16.96,-0.29,-1.68,94186,29.56,16.03,-28.62
American Midstream Partners,AMID,6.73,6.98,6.56,6.82,0.05,0.74,92759,19.42,3.8,-15.7
American Realty Investors,ARL,4.45,5.09,4.45,5.09,0.82,19.2,5579,7.49,3.89,-9.41
American States Water,AWR,38.94,39.19,38.65,38.97,0.05,0.13,138372,47.24,35.8,-7.1
American Tower REIT,AMT,99.4,100.62,98.87,100.35,0.77,0.77,1474737,104.12,83.07,3.51
American Vanguard,AVD,15.44,15.68,15.32,15.61,-0.07,-0.45,79970,17.07,9.63,11.42
American Water Works,AWK,67.68,67.98,67.33,67.63,0.08,0.12,1566386,70.1,48.36,13.19
AmeriGas Partners,APU,42.37,43.08,42.23,43.04,0.52,1.22,100856,49.87,30.8,25.59
Ameriprise Financial,AMP,91.4,92.01,90.65,91.98,-0.78,-0.84,1857127,131.78,76,-13.57
AmerisourceBergen,ABC,86.86,87.23,85.95,86.17,-1.1,-1.26,2441814,120.68,80.5,-16.91
Ametek,AME,49.09,49.12,48.69,49.07,-0.28,-0.57,808196,57.67,42.82,-8.43
Amira Nature Foods,ANFI,10.41,10.6,10.2,10.41,-0.12,-1.14,109517,14.56,2.51,14.27
AMN Healthcare Services,AHS,31.87,31.97,30.59,31.9,-0.16,-0.5,554164,37.47,21.24,2.74
Ampco-Pittsburgh,AP,13.09,13.66,12.97,13.61,0.44,3.34,32109,17.78,8.88,32.65
Amphenol Cl A,APH,56.62,57.43,56.32,57.17,0.31,0.55,1441581,59.61,44.5,9.46
Amplify Snack Brands,BETR,13.69,13.89,13.48,13.85,0.13,0.95,960143,17.2,9.15,20.23
Amrep,AXR,4.35,4.35,4.31,4.35,0.01,0.23,11200,5.48,3.66,
Anadarko Petroleum,APC,44.88,46.5,44.34,46.27,-0.02,-0.04,8702286,95.94,28.16,-4.76
Anadarko Petroleum Un,AEUA,31.5,32.45,31,32.37,0.37,1.16,8074,52.44,22.3,-4.65
AngloGold Ashanti ADR,AU,12.7,13.15,12.7,13.05,0.2,1.56,4062875,14.31,5.64,83.8
Anheuser-Busch InBev ADR,BUD,120.64,121.72,120.4,121.58,-0.58,-0.47,1551905,130.08,102.52,-2.74
Anixter International,AXE,49.06,51.18,48.5,50.94,1.47,2.97,291168,78.68,37.6,-15.65
Annaly Capital Management,NLY,10.4,10.46,10.3,10.44,0.02,0.19,6538646,10.88,8.25,11.3
Antero Midstream Partners,AM,21.71,21.94,21.5,21.76,-3.21,-12.86,6337517,29.76,16.47,-4.65
Antero Resources,AR,24.56,24.92,23.69,24.69,-0.03,-0.12,2066344,46.06,18.5,13.26
Anthem,ANTM,138.57,140,137.87,139.97,0.47,0.34,1225860,173.59,115.63,0.38
Anthem Corporate Un,ANTX,47.07,47.11,46.64,46.64,-0.26,-0.55,20504,54.78,40.72,1.28
Anworth Mortgage Asset,ANH,4.71,4.78,4.68,4.77,0.05,1.06,654826,5.34,3.66,9.66
Aon,AON,100.03,101.32,99.67,101.13,0.62,0.62,2166369,104.7,83.83,9.67
A.O. Smith,AOS,74.12,74.86,73.79,74.85,0.41,0.55,662564,81.15,50.09,-2.3
Apache,APA,47.01,48.86,46.59,48.85,0.99,2.07,4422785,71.87,32.2,9.85
Apartment Investment&Management,AIV,40.26,40.44,39.94,40.37,0.02,0.05,747255,40.86,34.71,0.85
Apollo Commercial Real Estate Finance,ARI,16.32,16.55,16.2,16.45,0.12,0.73,741000,18.25,12.92,-4.53
Apollo Global Management Cl A,APO,16.94,16.94,15.56,16.73,-0.33,-1.93,1494743,23.33,12.35,10.21
Apollo Residential Mortgage,AMTG,13.36,13.67,13.3,13.65,0.21,1.56,251968,16.2,9.57,14.23
Apple Hospitality REIT,APLE,19.23,19.39,19.07,19.32,0.05,0.26,460300,20.97,13.82,-3.25
Applied Industrial Technologies,AIT,41.26,42.5,41.15,42.5,0.9,2.16,574657,45.56,35.55,4.96
Aptargroup,ATR,77.93,77.99,76.86,77.39,-0.75,-0.96,200982,78.89,60.73,6.52
Aqua America,WTR,31.37,31.55,31.25,31.45,0.07,0.22,747836,32.34,24.4,5.54
Aramark,ARMK,32.46,32.56,32.18,32.51,-0.02,-0.06,744199,35.06,28.09,0.81
Arbor Realty Trust,ABR,6.72,6.81,6.63,6.8,0.05,0.74,131802,7.35,6.01,-4.9
